,Text,Sentiment,Date,Favorites,Retweets,Mentions,HashTags
19,"Why? Democrats also have investments in the stock market. Or do you think people out of work, out of unemployment benefits, and having no health insurance will continue to believe ""The economy is doing great!"" because the DJI is up?",negative,2020-05-28 16:13:59+00:00,0,0,,
21,#DJI That 12M candle is mind-blowing #stockmarket #dowjones #investing #stockstotrade,neutral,2020-05-28 12:11:15+00:00,1,6,,#DJI #stockmarket #dowjones #investing #stockstotrade
22,"3rd time the Charm ? Market bottoms right before UE claims bottom. When I first saw the picture on the right I was dubious. From the way things played out, the data was right. Only If I had listened to the data #StockMarket #SP500 #DJI #Bitcoin",negative,2020-05-28 01:59:29+00:00,0,0,,#StockMarket #SP500 #DJI #Bitcoin #Bitcoin
26,$SPY $SPX $QQQ $IWM $DJI $AAPL $TSLA $FB $AMZN $GS $JPM $BAC $C $GOOGL $SPOT $XLE $BA $BABA $UVXY $LYFT $CMG #ES_F #StockMarket ,neutral,2020-05-27 15:51:39+00:00,0,0,,#ES_F #StockMarket
27,"The Stock Market clearly no longer reflects the economy. Unemployment is skyrocketing. Bankruptcies are skyrocketing. Only the ""investor class"" is doing well, which is driving the market. P.S. the DJI started at 25,007 and went up 23 points today to 25,030. Not a big gain.",negative,2020-05-27 02:26:29+00:00,0,0,,
29,"$SPY $SPX $DJI WHEN THE SHOESHINE BOYS TALK STOCKS IT WAS A GREAT SELL SIGNAL: JOE KENNEDY, a famous rich guy in his day, exited the stock market in timely fashion after a shoeshine boy gave him some stock tips. He fig... ",negative,2020-05-26 20:43:26+00:00,0,0,,
31,There is no better proof that the stock market has NOTHING to do with the economy than to watch the DJI tick upwards DESPITE the worse economy since the depression.,negative,2020-05-26 19:24:31+00:00,1,3,,
36,"Although the outlook is becoming increasingly gloomy and a global wave of bankruptcies and occasional national bankruptcies are to be expected, the stock market is still celebrating with champagne and ignoring reality. A rogue who thinks evil #DAX #DJI #stocks #NDX",negative,2020-05-26 10:53:04+00:00,0,0,,#DAX #DJI #stocks #NDX
37,Stock Market Wrap-Up: Why the Latest Netflix Panic Is Ridiculous @themotleyfool #stocks $NFLX $^DJI $^GSPC $DIS $^IXIC,neutral,2020-05-25 15:24:27+00:00,0,0,@themotleyfool,#stocks
38,Stock Market Update: I called the top and bottom? Will it dip again? Check out my thoughts in this video. #DJI #DJIA $DIA #SP500 $SPY #StockMarket ,negative,2020-05-25 13:24:20+00:00,1,1,,#DJI #DJIA #SP500 #StockMarket
39,"SP500 Elliott Wave Market Update 25 May 2020 https://youtu.be/0iNgywTq8hs via @YouTube SP500, options trading,spread betting, US Stock Market,ETF,VOO,QQQ,NASDAQ-100,DJI, Swing Trading, S&amp;P500 news, tradinglounge, trading lounge, elliot wave,s&amp;p500",neutral,2020-05-25 00:35:18+00:00,0,0,@YouTube,
41,#ES_F $NDX $DJI $RUT $GC $CL The S&amp;P 500 in sitting near a key level. What can we learn from history about the odds March 23 stock market low? In this video reviews numerous BEFORE the Low / Reset vs after low/Retest #btc #Covid_19 What is most important https://www.youtube.com/watch?v=VpUThmHJROY&amp;feature=youtu.be,neutral,2020-05-24 19:51:45+00:00,1,0,,#ES_F #btc #btc #Covid_19
44,Although I am a bear and I believe the markets will crash in June. There is always a small possibility that the stock market will go for ATHs before crashing. $DJI ,negative,2020-05-23 11:07:47+00:00,0,12,,
45,$NDX Nasdaq getting tired of carrying the $SPY $SPX and $DJX $DJI Several sectors look tired and about ready for pullback or breakdown IMO. #StockMarket #Investing #stockstowatch #StocksToTrade #stocks #Charts,negative,2020-05-23 02:58:59+00:00,0,0,,#StockMarket #Investing #stockstowatch #StocksToTrade #stocks #Charts
49,$SPY $SPX $QQQ $IWM $DJI $AAPL $TSLA $FB $AMZN $GS $JPM $BAC $C $GOOGL $SPOT $XLE $BA $BABA $UVXY #ES_F #COVID19 #Nifty #StockMarket #StayAlert #DementiaJoe #RacistJoeBiden #RapistJoe,neutral,2020-05-22 18:32:45+00:00,1,0,,#ES_F #COVID19 #Nifty #StockMarket #StayAlert #DementiaJoe #RacistJoeBiden #RapistJoe
50,"All things considered, where do you see U.S. markets going from here? #StockMarket #DJI #Nasdaq #SPX #COVIDãƒ¼19",neutral,2020-05-22 14:29:30+00:00,0,0,,#StockMarket #DJI #Nasdaq #SPX #COVID
51, Frontline Index portray Poor Performance but Action has Shifted from Largecap Smallcap&amp; Midcaps In line with US' Russell 2000 #RUT charts better than #DJI Today Smallcap index is best Performing index among the peers! Some stocks defied Gravity! #Nifty #StockMarket ,neutral,2020-05-22 11:02:34+00:00,2,6,,#RUT #DJI #Nifty #StockMarket
53,$SPY Flushed face Money-mouth face Money-mouth face Money-mouth face $SPX $QQQ $IWM $DJI $AAPL $TSLA $FB $AMZN $GS $JPM $BAC $C $GOOGL $SPOT $XLE $BA $BABA $UVXY $LYFT $CMG #ES_F #StockMarket $ZM $MA https://discord.gg/mCDt75J,neutral,2020-05-22 04:45:49+00:00,0,2,,#ES_F #StockMarket
57,"This is one of the main reasons weâ€™ll see new ATH in the stock market this year. Once airlines, cruise lines, industrials and other laggard stocks start catching up itâ€™ll get us closer to the highs and FOMO will kick in to break us to new highs. $SPX $DJI ",negative,2020-05-21 20:09:40+00:00,0,5,,
58,"$BA coming back to life maybe? This shit's basically mimicking DJI, but still watch that trend line #stocks #trading #StockMarket ",negative,2020-05-21 15:41:33+00:00,0,1,,#stocks #trading #StockMarket
60,"big moves this week, we had NQ at 9500 - RUT had a break out , will it hold? $NDX $SPX $ES $RUT $DJI $XBI $XLK #casinos #economy #StockMarket 1) Indices 2) 20 May internals - not as strong as 18 May 3) Sector momentum - XBI+XLK up there 4) Large caps - note casino stocks ",negative,2020-05-21 07:13:15+00:00,0,0,,#casinos #economy #StockMarket
61,"Started providing stock signals through my company Manager Mint, LLC - $5/mo Average Profit: 20.59% Average Duration of profit: 8.27 days P&amp;L 2020 vs DJI: 245% vs. 2.85% P&amp;L 2020 vs S&amp;P 500: 245% vs. 7.66% Sign up here: https://www.managermint.com/stock-signals/ #stocksignals #stockmarket",neutral,2020-05-21 04:01:12+00:00,1,1,,#stocksignals #stockmarket
62,"I can say this: Watch M & A closely. Pick a sector. Dig around. Pick your price. Stand your ground. One is staring you right in the eye, right now. Go vertical...who has CASH ? Bingo. Now look at book. I canâ€™t say anything more. #StockMarket #Traders #markets $DJI",neutral,2020-05-21 02:52:55+00:00,0,1,,#StockMarket #Traders #markets
63,$VIX so far refusing to go lower. $SPX $SPY $NASDAQ $DJI $DJIA #StockMarket ,negative,2020-05-21 02:42:40+00:00,2,4,,#StockMarket
64,#DJI #StockMarket Futures closed above 610 ma 3h. I hope it is not fake out ,negative,2020-05-20 21:02:12+00:00,0,0,,#DJI #StockMarket
68," Today in Stock Market history: 35 years ago, today in 1985 Dow Jones Industrial Average (#DJI) closed above 1300 for the 1st time. Currently, $DJI is at ~23500 So â‚¹10,000 invested in DJI then; is now worth ~â‚¹1,72,000 which is a gain of ~1720% (Ignoring â‚¹ depreciation)",neutral,2020-05-20 17:04:00+00:00,0,2,,#DJI
69,"Just a reminder that surging Dow numbers are almost entirely rallying because of a vaccine, not because of â€œTrump inflating the stock market.â€ $DJI numbers are based off of probability of future recovery, not entirely current conditions. #markets #finance",negative,2020-05-19 19:17:24+00:00,0,1,,#markets #finance
70,Itâ€™s almost a ritual: 3:00 pm and stocks suddenly cliff dive! #stockmarket #stocks $DJI ,negative,2020-05-19 19:06:30+00:00,0,4,,#stockmarket #stocks
72,Stock markets fall is accelerating!! #SNP #snp500 #stockmarkets #dax #FTSE #nasdaq #dow #DJI #dowjones #WarrenBuffet #hedgefund #forex #DAX30 #SPX #SPX500,negative,2020-05-19 13:39:31+00:00,0,0,,#SNP #snp500 #stockmarkets #dax #FTSE #nasdaq #dow #DJI #dowjones #WarrenBuffet #hedgefund #forex #DAX30 #SPX #SPX500
74,Stock Market Wrap-Up: The Real Reason Aurora Cannabis Stock Lit Up on Monday @themotleyfool #stocks $ACB $^DJI $^GSPC $^IXIC $TLRY,neutral,2020-05-19 11:08:59+00:00,0,0,@themotleyfool,#stocks
75,Stock markets are falling!! #SNP #snp500 #stockmarkets #dax #FTSE #nasdaq #dow #DJI #dowjones #WarrenBuffet #hedgefund #forex #DAX30 #SPX #SPX500,negative,2020-05-19 09:21:18+00:00,0,0,,#SNP #snp500 #stockmarkets #dax #FTSE #nasdaq #dow #DJI #dowjones #WarrenBuffet #hedgefund #forex #DAX30 #SPX #SPX500
76,Stock markets are falling!! #SNP #snp500 #stockmarkets #dax #FTSE #nasdaq #dow #DJI #dowjones #WarrenBuffet #hedgefund #forex #DAX30 #SPX #SPX500,negative,2020-05-19 09:13:36+00:00,0,1,,#SNP #snp500 #stockmarkets #dax #FTSE #nasdaq #dow #DJI #dowjones #WarrenBuffet #hedgefund #forex #DAX30 #SPX #SPX500
77,Stock Market Wrap-Up: The Real Reason Aurora Cannabis Stock Lit Up on Monday @themotleyfool #stocks $ACB $^DJI $^GSPC $^IXIC $TLRY https://www.fool.com/investing/2020/05/18/stock-market-wrap-up-the-real-reason-aurora-cannab.aspx,neutral,2020-05-19 08:27:36+00:00,0,0,@themotleyfool,#stocks
78,Stock Market Wrap-Up: The Real Reason @Aurora_MMJ #Stock Lit Up on Monday @themotleyfool #stocks $ACB $^DJI $^GSPC $^IXIC $TLRY https://www.fool.com/investing/2020/05/18/stock-market-wrap-up-the-real-reason-aurora-cannab.aspx,neutral,2020-05-19 01:44:47+00:00,0,1,@Aurora_MMJ @themotleyfool,#Stock #stocks
80,"Stock market will be reflecting this soon, $DJI $SPY $QQQ $DIA $ccl $wynn $rcl",neutral,2020-05-18 22:12:13+00:00,0,0,,
84,"Why are the markets running up today? Because Powell said ""the fed is no where close to exhausting it's ammo"". I.e. they will print more money for stimulus if markets go down again. $SPY $DJI. Economic recession does not = stock market recession",negative,2020-05-18 14:54:18+00:00,0,3,,
88,#DJI will fall AT LEAST a 50% from it's highs. #StockMarket ,negative,2020-05-18 09:30:14+00:00,0,0,,#DJI #StockMarket
89,"#WallStreet set for higher opening US markets finished higher on Friday, but were still down overall for the week. However, some stocks hit all-time highs, including #NVIDIA, #Netflix and #Peloton. â€” #etoro #stocks #stockmarket #dji #dowjones #sp500 #nasdaq",negative,2020-05-18 09:22:50+00:00,0,0,,#WallStreet #NVIDIA #Netflix #Peloton #etoro #stocks #stockmarket #dji #dowjones #sp500 #nasdaq
93,"Stock markets are falling!! Do you see THE HALF ""W"" at the end of the chart? #SNP #snp500 #stockmarkets #dax #FTSE #nasdaq #dow #DJI #dowjones #WarrenBuffet #hedgefund #forex #DAX30 #SPX #SPX500",negative,2020-05-17 19:14:31+00:00,2,1,,#SNP #snp500 #stockmarkets #dax #FTSE #nasdaq #dow #DJI #dowjones #WarrenBuffet #hedgefund #forex #DAX30 #SPX #SPX500
97,This song describes the prevailing mood of the nation... 'Torn To Pieces' by Pop Evil https://youtu.be/e8A9J94UWI8 #COVID #StockMarket $spy $spx $qqxq $ndx $rty $iwm $dji $dia $es_f $ym_f $vix #LosAngeles,negative,2020-05-17 11:24:20+00:00,1,0,,#COVID #StockMarket #LosAngeles
99,"We wrote about the dangerous divergences in the markets from Jan thru early Feb. This chart compares the â€œtrue broad stock marketâ€ (VALUG Index) with the popular major averages $DJI, $SPY, &amp; $QQQ. This is so similar to right now! Read more in our report: https://bit.ly/DCCrashOf2020Rpt",neutral,2020-05-16 15:30:21+00:00,2,4,,
100,pictures don't lie. $SPY in distribution big time (notice up/dn on price versus volume) . They will milk it all they can. Get out of the way or volunteer to become a bag holder. $SPX #StockMarket $SH $DJIA $DJI $VIX $QQQ $NASDAQ $COMPQ $IWM,negative,2020-05-15 16:02:38+00:00,0,1,,#StockMarket
101,$SPY I see you Powell! Trying 2 look all pretty.. $SPY $SPX $QQQ $IWM $DJI $AAPL $TSLA $FB $AMZN $GS $JPM $BAC $C $GOOGL $SPOT $XLE $BA $BABA $UVXY $LYFT $CMG #ES_F #StockMarket $ZM,neutral,2020-05-15 14:52:22+00:00,0,1,,#ES_F #StockMarket
103,US indices down at open $SPX $IXIC $DJI #stock #StockMarket #NYSE #stockstowatch,negative,2020-05-15 13:35:17+00:00,0,0,,#stock #StockMarket #NYSE #stockstowatch
104,DJI Index News - Dow Jones Stock Market Industry Index (DJI) Today? Â» Latest Stock Market News #DJI #DJIA #DowJones #Today #Dow #Jones #stock #stockmarket #stockexchange #Ä±ndex #news #latestnews https://stockmarket.sondakikaborsa.com/dji-index-news-dow-jones-stock-market-industry-index-dji-today/ @sondakikaborsa aracÄ±lÄ±ÄŸÄ±yla,neutral,2020-05-15 08:52:08+00:00,0,0,@sondakikaborsa,#DJI #DJIA #DowJones #Today #Dow #Jones #stock #stockmarket #stockexchange #news #latestnews
108,"When US announced $3 trillion covid19 relief package, their stock market DJI was up by 10%, when Modiji announced package of 20 L crores, our stock market is down by 2.5%. what else validation you need..It's a 20L crores Jumla package .:-)",negative,2020-05-14 23:06:28+00:00,1,1,,
109,Ready? Already? $SPY $SPX #NQ_F $NQ_F $QQQ #SPY #SPX $NDX #NDX $DJI $DIA #DJI #DIA #stocks #StockMarket S&amp;P Index 1H ,neutral,2020-05-14 21:32:30+00:00,1,4,,#NQ_F #SPY #SPX #NDX #DJI #DIA #stocks #StockMarket
110,#DJI #StockMarket If dow will get rejected at the same support second time. I think it must be bullish. All will say head and shoulders top. I would say accumulation phase. Check 2008 crash recovery. There goes your head and shoulders too. ,negative,2020-05-14 15:18:07+00:00,0,1,,#DJI #StockMarket
111,V-shaped bottom-forming. Suddenly all problems are forgotten hm? #Stockmarket #Trading $DJI #DJIA,negative,2020-05-14 15:06:11+00:00,0,7,,#Stockmarket #Trading #DJIA
113,"When US announced $3 trillion covid19 relief package, their stock market DJI was up by 10%, when Modiji announced package of 20 L crores, our stock market is down by 2.5%. what else you need..It's a 20L crores Jumla package .:-) #jumlapackage",negative,2020-05-14 10:22:43+00:00,1,1,,#jumlapackage
115,"Based on those statistics of unemployment and the bad outlooks of the economy, I still wonder how the DJI, S&amp;P500,... still manages to have its stocks going up. There must be manipulation IMO. I believe we'll see the stock market crash again anytime soon.",negative,2020-05-14 00:29:30+00:00,0,1,,
116,$SPY Looking 4 a Gap Up &amp; Crap 2morrow $SPX $QQQ $IWM $DJI $AAPL $TSLA $FB $AMZN $GS $JPM $BAC $C $GOOGL $SPOT $XLE $BA $BABA $UVXY $LYFT $CMG #ES_F #StockMarket $ZM #stockstowatch,neutral,2020-05-13 23:14:03+00:00,1,3,,#ES_F #StockMarket #stockstowatch
117,#Stockmarket at 3 week LOW after #FederalReserve Chair painted an uncertain outlook on US #Economy &amp; not sold on NEGATIVE #interestrate But #Trump disagrees! Meantime billionaire hedge fund manager #DavidTepper says itâ€™s too expensive! Covered on #foxnews $spy $dji $ndq ,negative,2020-05-13 22:47:34+00:00,12,47,,#Stockmarket #FederalReserve #Economy #interestrate #Trump #DavidTepper #foxnews
118,#spy #StockMarket #dji #spx #appl #fb #nflx #tslathe stock market is creating a bearish flag 21000-20000 level is critical....if it doesnt hold this levels...you can see the market heading to 10000 level base on the measure of the pole which is 10k point,negative,2020-05-13 21:11:15+00:00,0,0,,#spy #StockMarket #dji #spx #appl #fb #nflx #tslathe
119,Any #OptionsTrader out there please lmk what you think. #OptionsTrading #NYSE #Options $DJI $NDX $SPX #StockMarket #DowJones #NASDAQ #SP500,neutral,2020-05-13 19:36:44+00:00,0,0,,#OptionsTrader #OptionsTrading #NYSE #Options #StockMarket #DowJones #NASDAQ #SP500
121,Iâ€™ve pulled out of the #bitcoin and #StockMarket space. Iâ€™m staying in all cash until I can figure out what the f**k is going on. #technicalanalysis unclear/all over the place. Canâ€™t get a clear #tradingsignal anywhere. feeling defeated. - #NYSE $BTC $DJI $NDX $SPX #crypto,negative,2020-05-13 17:14:09+00:00,1,5,,#bitcoin #bitcoin #StockMarket #technicalanalysis #tradingsignal #NYSE #crypto
122,Have the traditional markets finally run out of steam? #StockMarket #DJI #NASDAQ #BTC,negative,2020-05-13 16:43:22+00:00,0,0,,#StockMarket #DJI #NASDAQ #BTC #BTC
123,$SPY $280.00 $SPX $QQQ $IWM $DJI $AAPL $TSLA $FB $AMZN $GS $JPM $BAC $C $GOOGL $SPOT $XLE $BA $BABA $UVXY $LYFT $CMG #ES_F #StockMarket ,neutral,2020-05-13 16:25:29+00:00,0,0,,#ES_F #StockMarket
125,Stock market rn (spx dji) has the worst risk reward Iâ€™ve ever seen ever across any asset ever.,negative,2020-05-13 14:42:17+00:00,0,0,,
127,How do I look?..I'm greedy and looking forward to getting slaughtered 2morrow...bhua..hahahah.. $SPY $SPX $QQQ $IWM $DJI $AAPL $TSLA $FB $AMZN $GS $JPM $BAC $C $GOOGL $SPOT $XLE $BA $BABA $UVXY $LYFT $CMG #ES_F #StockMarket $ZM,neutral,2020-05-13 00:50:54+00:00,0,3,,#ES_F #StockMarket
128,Preferred scenario with a target of 2750. $SPY $SPX #NQ_F $NQ_F $QQQ #SPY #SPX $NDX #NDX $DJI $DIA #DJI #DIA #stocks #StockMarket S&amp;P Future 30 Min ,neutral,2020-05-12 21:58:24+00:00,1,4,,#NQ_F #SPY #SPX #NDX #DJI #DIA #stocks #StockMarket
129,This sure looks like head and shoulders taking form in Dow Jones. #trading #StockMarket #stocks #DJI ,negative,2020-05-12 21:55:53+00:00,0,0,,#trading #StockMarket #stocks #DJI
131,$SPY Now you're cooking with gas! $SPX $QQQ $IWM $DJI $AAPL $TSLA $FB $AMZN $GS $JPM $BAC $C $GOOGL $SPOT $XLE $BA $BABA $UVXY $LYFT $CMG #ES_F #StockMarket #tradewar #China #TradeTalks #coronavirus #Covid_19,neutral,2020-05-12 17:15:22+00:00,0,0,,#ES_F #StockMarket #tradewar #China #TradeTalks #coronavirus #Covid_19
132,"$SPY ""The FREE Market is an Economic System based on Supply &amp; Demand w/ Little or NO Government Control"" $SPX $QQQ $IWM $DJI $AAPL $TSLA $FB $AMZN $GS $JPM $BAC $C $GOOGL $SPOT $XLE $BA $BABA $UVXY $LYFT $CMG #ES_F #StockMarket #stocks @CNBCFastMoney @FoxBusiness @CNBC",neutral,2020-05-12 14:20:16+00:00,0,0,@CNBCFastMoney @FoxBusiness @CNBC,#ES_F #StockMarket #stocks
133,Be careful out there. $SPY $SPX $DJI $VIX #Stockmarket #trading #economy,negative,2020-05-12 13:16:45+00:00,1,0,,#Stockmarket #trading #economy
135,"Sadly l was one of those people. This stock sucks, no question about it. I dumped everything yesterday! Good RIDDANCE Stock Market Wrap-Up: This Pot Stock's 1,000% Share-Price Rise Isn't Good News @themotleyfool #stocks $AMZN $AMC $ACB $^DJI $^GSPC $^IXIC ",negative,2020-05-12 11:18:03+00:00,1,0,@themotleyfool,#stocks
141,$AAPL $SPY $SPX $QQQ $IWM $DJI $TSLA $FB $AMZN $GS $JPM $BAC $C $GOOGL $SPOT $XLE $BA $BABA $UVXY $LYFT $CMG #ES_F #MondayMorning #mondaythoughts #StockMarket ,neutral,2020-05-11 04:18:39+00:00,0,0,,#ES_F #MondayMorning #mondaythoughts #StockMarket
142,$SPY Monday..Gap and Crap? $SPX $QQQ $IWM $DJI $AAPL $TSLA $FB $AMZN $GS $JPM $BAC $C $GOOGL $SPOT $XLE $BA $BABA $UVXY $LYFT $CMG #ES_F #mondaythoughts #StockMarket #StocksToTrade #Pandemic2 #Lockdown2 #COVID19 #2ndRound #COVIDIOTS #Quarantine ,negative,2020-05-11 00:51:04+00:00,0,0,,#ES_F #mondaythoughts #StockMarket #StocksToTrade #Pandemic2 #Lockdown2 #COVID19 #2ndRound #COVIDIOTS #Quarantine
143,"SP500 Elliott Wave Day Trading 11 May 2020 https://youtu.be/GOu-jMXm9C8 via @YouTubeoptions trading,spread betting, US Stock Market,ETF,VOO,NASDAQ-100,DJI, Swing Trading, news, breaking news, Apple (AAPL) Amazon (AMZN) Alphabet (GOOL)",neutral,2020-05-10 22:54:53+00:00,0,1,@Youtubeoptions,
144, #coronavirus has penetrated the White House! $SPY $SPX $QQQ $IWM $DJI $AAPL $TSLA $FB $AMZN $GS $JPM $BAC $C $GOOGL $SPOT $XLE $BA $BABA $UVXY $LYFT $CMG #ES_F #coronavirususa #COVID19 $SBUX #NASDAQ #StockMarket #bitcoin #MourningInAmerica #Lockdown2 #pandemic2 ,negative,2020-05-10 22:17:56+00:00,0,1,,#coronavirus #ES_F #coronavirususa #COVID19 #NASDAQ #StockMarket #bitcoin #bitcoin #MourningInAmerica #Lockdown2 #pandemic2
145,"66% short interest on Weekend Wall Street. Doom, gloom and caution everywhere right now. Bitcoin retracing. This week will be interesting. Will the market do what the majority expects, or will it buck the herd and continue upward? #StockMarket $SPY $DJI $NDX",negative,2020-05-10 18:47:28+00:00,0,0,,#StockMarket
150,$SPY Everyone is Bullish &amp; gaurd down.. $SPY 280 by Tuesday?? $SPX $QQQ $IWM $DJI $AAPL $TSLA $FB $AMZN $GS $JPM $BAC $C $GOOGL $SPOT $XLE $BA $BABA $UVXY $LYFT $CMG #ES_F $MELI #coronavirus #StockMarket #mondaythoughts #SaturdayVibes #bitcoin ,negative,2020-05-10 01:29:17+00:00,1,2,,#ES_F #coronavirus #StockMarket #mondaythoughts #SaturdayVibes #bitcoin #bitcoin
151,The stock market value has a direct correlation to GDP and fiscal policy. Based on these two factors we should have been at 25000 for DJI at the peak and this is before #COVID19,negative,2020-05-09 20:14:10+00:00,0,0,,#COVID19
152, $TSLA $SPY $SPX $QQQ $IWM $DJI $AAPL $FB $AMZN $GS $JPM $BAC $C $GOOGL $SPOT $XLE $BA $BABA $UVXY $LYFT $CMG #ES_F #SaturdayMorning #StockMarket #stockstowatch #COVID19 #coronavirus #COVIDIOTS,neutral,2020-05-09 17:37:31+00:00,0,0,,#ES_F #SaturdayMorning #StockMarket #stockstowatch #COVID19 #coronavirus #COVIDIOTS
155,"$COMPQX monthly strength been degrading since 2018, setting up for a yet more severe turn in price ahead. They are still looking for long term bag holders in case you are interested . $NDX $NQ $SPY $SPX $QQQ $DJIA $DIA $DJI $IWM $VIX $GLD $BTC #StockMarket #stocks #Bulls",negative,2020-05-09 14:37:43+00:00,0,1,,#StockMarket #stocks #Bulls
156,$SPY Time 2 shut it Down again! $SPY $SPX $QQQ $IWM $DJI $AAPL $TSLA $FB $AMZN $GS $JPM $BAC $C $GOOGL $SPOT $XLE $BA $BABA $UVXY #ES_F $LYFT $CMG #mondaythoughts #StockMarket #stocks #gotPuts #Lockdown2 #LockdownExtended #stayHomeAgain #coronavirus #Covid_19 #copolitics ,negative,2020-05-09 05:24:01+00:00,0,0,,#ES_F #mondaythoughts #StockMarket #stocks #gotPuts #Lockdown2 #LockdownExtended #stayHomeAgain #coronavirus #Covid_19 #copolitics
158,Stock Market News: Elon Musk Keeps Fighting; Ad Fears Sink 2 Top Stocks @themotleyfool #stocks $TSLA $TTD $ROKU $^DJI $^GSPC $^IXIC http://dlvr.it/RWH59J via @akwyz,negative,2020-05-08 19:18:02+00:00,2,1,@themotleyfool @AkwyZ,#stocks
159,Talking about $SPX Weekly Options on the latest podcast episode. Also available in Spotify and other podcast players. $SPY $DIA $NDX $RUT $QQQ $DJI $IWM #StockMarket $$,neutral,2020-05-08 14:15:48+00:00,0,0,,#StockMarket
161,"What a rough week for #trading #stockmarket were stagnant, so my trades didnâ€™t profit as much as I planned. No good â€œbuyâ€ signals on the #technicalanalysis #bitcoin needs to dump since SUN but manipulators are preventing so been staying away. - $BTC #BTCUSD $NDX $SPX $DJI #NYSE",negative,2020-05-07 20:52:48+00:00,0,1,,#trading #stockmarket #technicalanalysis #bitcoin #bitcoin #BTCUSD #NYSE
162,Stock Market News: The Must-Know Lesson From Today's 2 Big Stock Winners @themotleyfool #stocks $TWLO $PTON $^DJI $^GSPC $^IXIC ,neutral,2020-05-07 18:53:00+00:00,0,0,@themotleyfool,#stocks
163,#SPY sees net outflow 11 or 15 sessions. #QQQ sees net inflow. Strengthens my argument to be short $SPY hedged with long $XLK $DJI #trading #investing #stocks #markets #StockMarket #SwingTrading #DayTrading https://www.marketwatch.com/story/as-sp-500-surged-from-march-lows-investors-fled-the-most-popular-stock-market-fundheres-what-one-analyst-says-that-means-2020-05-07,negative,2020-05-07 18:34:03+00:00,0,1,,#SPY #QQQ #trading #investing #stocks #markets #StockMarket #SwingTrading #DayTrading
164,"Todayâ€™s announcement that 3.2 Americans filed for unemployment last week sends the DJI upward. Please America, DO NOT elect a President based on whether the stock market is trending up or down.",negative,2020-05-07 14:56:24+00:00,0,0,,
166,How the $DJI $GSPC $RUT $IXIC felt this past month. #stocks #investor #investing #stockmarket ,neutral,2020-05-07 12:10:46+00:00,0,0,,#stocks #investor #investing #stockmarket
169,Quelles actions US acheter aujourd'hui? #CAC40 #DAX #DOWJONES #US500 $SPY $DJI #sony $V #investing #stocks #StockMarket ,neutral,2020-05-07 06:45:07+00:00,0,0,,#CAC40 #DAX #DOWJONES #US500 #sony #investing #stocks #StockMarket
170,Big hedge funds are throwing their stocks away considering them as garbage!! This is why the stock markets are falling!! #SNP #snp500 #stockmarkets #dax #FTSE #nasdaq #dow #DJI #dowjones #WarrenBuffet #hedgefund #forex #DAX30 #SPX #SPX500,negative,2020-05-07 06:16:49+00:00,0,0,,#SNP #snp500 #stockmarkets #dax #FTSE #nasdaq #dow #DJI #dowjones #WarrenBuffet #hedgefund #forex #DAX30 #SPX #SPX500
